Generation,ACG
0,1.6818181818181819
1,2.8
2,3.3870967741935485
3,3.7666666666666666
4,4.290322580645161
5,4.358974358974359
6,4.65
7,5.153846153846154
8,5.195652173913044
9,5.327586206896552
10,5.428571428571429
11,5.3
12,4.696969696969697
13,4.7101449275362315
14,4.685714285714286
15,5.111111111111111
16,4.972602739726027
17,4.868421052631579
18,5.0256410256410255
19,4.959595959595959
20,5.089285714285714
21,4.862745098039215
22,5.0
23,4.914529914529915
24,4.947712418300654
25,5.067415730337078
26,5.009389671361502
27,5.105263157894737
28,4.927710843373494
29,4.968652037617555
30,4.851282051282051
31,4.963218390804598
32,5.661800486618005
33,5.582191780821918
34,5.608796296296297
35,6.228346456692913
36,5.933333333333334
37,6.482014388489208
38,6.119592875318066
39,6.251677852348993
40,5.754820936639119
41,5.61520190023753
42,6.103641456582633
43,5.776902887139108
44,6.425974025974026
45,5.980769230769231
46,5.4574712643678165
47,5.859903381642512
48,6.462287104622871
49,7.599476439790576
50,7.359173126614987
51,8.71948051948052
52,8.240437158469945
53,7.181192660550459
54,7.992207792207792
55,7.687192118226601
56,7.473821989528796
57,7.925581395348837
58,8.38219895287958
59,9.501424501424502
60,8.42080378250591
61,8.552693208430913
62,9.373205741626794
63,9.25462962962963
64,9.020356234096692
65,9.689156626506024
66,10.088372093023256
67,9.17258883248731
68,10.722063037249283
69,8.727272727272727
70,10.64367816091954
71,11.190721649484535
72,12.09750566893424
73,11.447488584474886
74,11.992307692307692
75,11.229828850855746
76,11.461904761904762
77,11.628865979381443
78,10.179069767441861
79,10.75
80,9.465060240963856
81,11.48223350253807
82,9.809633027522937
83,9.737209302325581
84,11.347721822541967
85,10.745098039215685
86,10.45721271393643
87,10.02540415704388
88,10.778290993071593
89,10.130434782608695
90,9.801470588235293
91,9.296587926509186
92,9.732323232323232
93,11.460199004975124
94,10.801864801864802
95,12.90632318501171
96,11.348148148148148
97,11.88169014084507
98,10.585131894484412
99,11.587822014051522
100,10.510250569476081
101,12.504587155963304
102,13.387909319899244
103,11.874715261958997
104,10.837765957446809
105,10.514084507042254
106,11.706766917293233
107,11.621004566210045
108,11.529411764705882
109,13.9498861047836
110,11.170391061452515
111,9.56282722513089
112,10.17142857142857
113,12.485148514851485
114,10.363636363636363
115,10.362997658079625
116,10.291079812206572
117,10.590909090909092
118,9.487113402061855
119,11.07311320754717
120,10.457471264367816
121,12.1575
122,11.717703349282298
123,11.537209302325582
124,10.210648148148149
125,10.337468982630273
126,9.707838479809975
127,12.468513853904282
128,11.270833333333334
129,10.307339449541285
130,11.242666666666667
131,12.30188679245283
132,12.724770642201834
133,10.642857142857142
134,8.856269113149848
135,8.4
136,10.07816091954023
137,11.1125
138,12.604010025062657
139,10.820512820512821
140,11.922141119221411
141,11.32175925925926
142,10.21256038647343
143,10.83838383838384
144,9.700980392156863
145,9.650234741784038
146,10.921760391198044
147,10.89838337182448
148,9.575757575757576
149,10.82077922077922
150,10.93208430913349
151,9.692118226600986
152,10.36986301369863
153,11.587822014051522
154,13.155875299760192
155,14.154255319148936
156,13.352657004830919
157,11.0501138952164
158,12.044117647058824
159,12.378440366972477
160,13.202733485193622
161,13.768392370572206
162,12.43632075471698
163,12.506976744186046
164,11.815013404825738
165,14.146572104018913
166,12.85960591133005
167,12.729216152019003
168,13.722222222222221
169,14.07843137254902
170,13.120283018867925
171,14.336088154269973
172,12.844961240310077
173,13.1675
174,11.634146341463415
175,12.238770685579196
176,12.133949191685913
177,13.419437340153452
178,12.975669099756692
179,12.995305164319248
180,14.98936170212766
181,15.056689342403628
182,13.642857142857142
183,11.5
184,10.726851851851851
185,11.920595533498759
186,13.080808080808081
187,14.709905660377359
188,12.912698412698413
189,12.601415094339623
190,13.258064516129032
191,12.641203703703704
192,13.120481927710843
193,14.549295774647888
194,13.969543147208121
195,12.055555555555555
196,10.244292237442922
197,9.07906976744186
198,10.124711316397228
199,11.295348837209302
200,12.450839328537171
201,11.631067961165048
202,10.101149425287357
203,10.591687041564793
204,12.12962962962963
205,13.21515892420538
206,14.723653395784543
207,13.29683698296837
208,15.113253012048192
209,15.364285714285714
210,12.816489361702128
211,12.37995337995338
212,12.015945330296127
213,11.511574074074074
214,12.973821989528796
215,11.73943661971831
216,13.016548463356974
217,13.449648711943794
218,14.178082191780822
219,14.947608200455582
220,14.163170163170163
221,13.097949886104784
222,13.127226463104325
223,13.942408376963352
224,12.17016317016317
225,12.588972431077694
226,13.160550458715596
227,13.691919191919192
228,12.924433249370278
229,12.471464019851117
230,11.209567198177677
231,12.729665071770334
232,11.178313253012048
233,10.93483709273183
234,11.693121693121693
235,10.690997566909976
236,12.555555555555555
237,12.145496535796767
238,11.390022675736962
239,11.372093023255815
240,11.672413793103448
241,11.148148148148149
242,11.747619047619047
243,10.568075117370892
244,11.291666666666666
245,11.633093525179856
246,11.781094527363184
247,14.248792270531402
248,15.089238845144356
249,13.905511811023622
250,13.220095693779903
251,11.77136258660508
252,12.56641604010025
253,12.036951501154734
254,12.888111888111888
255,13.620689655172415
256,14.95662100456621
257,14.012919896640827
258,13.774869109947645
259,12.103926096997691
260,12.58041958041958
261,12.17674418604651
262,12.83254716981132
263,14.922077922077921
264,14.190123456790124
265,13.537209302325582
266,13.54861111111111
267,13.249433106575964
268,13.281179138321995
269,14.443661971830986
270,13.025188916876575
271,11.597619047619048
272,13.678004535147393
273,13.342364532019705
274,14.881944444444445
275,14.016908212560386
276,13.893719806763285
277,15.65962441314554
278,16.685792349726775
279,12.727699530516432
280,13.358778625954198
281,13.04245283018868
282,13.187066974595844
283,12.6270783847981
284,13.183098591549296
285,12.484018264840183
286,14.167553191489361
287,14.609977324263038
288,15.400516795865633
289,13.378313253012049
290,12.669767441860465
291,13.985849056603774
292,11.335731414868105
293,11.363218390804597
294,12.935866983372922
295,13.839080459770114
296,13.755707762557078
297,13.712984054669704
298,13.028708133971293
299,12.621428571428572
300,14.982758620689655
301,14.374429223744292
302,12.830275229357799
303,13.909774436090226
304,14.195250659630608
305,13.37712895377129
306,12.522565320665084
307,14.450402144772118
308,12.632558139534884
309,13.68384074941452
310,12.5
311,13.850917431192661
312,14.428223844282238
313,13.316546762589928
314,13.840646651270207
315,14.78310502283105
316,14.106235565819862
317,14.679245283018869
318,12.497685185185185
319,13.070904645476773
320,13.562642369020502
321,12.992700729927007
322,12.455580865603645
323,14.160949868073878
324,13.231678486997636
325,14.14975845410628
326,14.153664302600474
327,12.672018348623853
328,13.783599088838269
329,14.0
330,14.00925925925926
331,13.835616438356164
332,14.318944844124701
333,13.593350383631714
334,13.699074074074074
335,15.747641509433961
336,14.481132075471699
337,12.685779816513762
338,14.975903614457831
339,13.606598984771574
340,12.870748299319727
341,13.636986301369863
342,15.116279069767442
343,13.609302325581396
344,14.27122641509434
345,12.787878787878787
346,13.325740318906606
347,13.059101654846335
348,11.338129496402878
349,14.141552511415526
350,14.91095890410959
351,14.942786069651742
352,13.880281690140846
353,13.466200466200466
354,14.875598086124402
355,15.528350515463918
356,14.068807339449542
357,15.413301662707838
358,16.51
359,14.84367816091954
360,14.662100456621005
361,13.949771689497718
362,14.44496487119438
363,14.701970443349754
364,14.555555555555555
365,13.662131519274377
366,16.081534772182255
367,15.9575
368,15.035971223021583
369,14.484375
370,13.531468531468532
371,14.581560283687944
372,14.714628297362111
373,14.992700729927007
374,13.819444444444445
375,14.078384798099762
376,15.558974358974359
377,14.031746031746032
378,15.23234624145786
379,14.411627906976744
380,12.565819861431871
381,11.773809523809524
382,12.933940774487471
383,14.979057591623036
384,14.06845965770171
385,13.292740046838407
386,13.604368932038835
387,14.170263788968825
388,14.844907407407407
389,13.74129353233831
390,14.525114155251142
391,15.335664335664335
392,16.1375
393,14.80593607305936
394,13.455188679245284
395,12.061503416856493
396,15.626146788990825
397,15.153488372093022
398,15.936170212765957
399,15.58128078817734
400,14.0144578313253
401,13.834498834498834
402,15.05026455026455
403,13.516746411483254
404,12.80952380952381
405,13.560364464692483
406,15.491916859122401
407,14.815242494226329
408,13.786206896551723
409,12.570776255707763
410,14.554187192118226
411,16.285359801488834
412,14.597674418604651
413,16.5
414,14.788154897494305
415,15.637813211845103
416,14.876456876456876
417,13.0
418,13.278571428571428
419,13.052631578947368
420,14.485074626865671
421,13.51643192488263
422,12.291284403669724
423,13.680272108843537
424,14.662591687041564
425,13.1125
426,13.904761904761905
427,14.081585081585082
428,15.529126213592233
429,13.502293577981652
430,15.03211009174312
431,15.332506203473946
432,14.38812785388128
433,15.487528344671201
434,17.3121387283237
435,14.583333333333334
436,14.309302325581395
437,16.26096997690531
